"Undefined rate from ""%s-%s""","""%s-%s""未定义汇率"
"-- Please select --","-- 请选择 --"
"Base currency","基准货币"
"Scheduled Import Settings","定期导入"
"Installed Currencies","已安装货币"
"Start Time","开始时间"
"Region","区域"
"Region Api","区域 Api"
"Remove space from currency sign","删除货币符号包含的空格"
"Allowed currencies","允许货币"
"Country","国家"
"Country Api","国家 Api"
"Invalid country code: %s","国家代码不正确：%s"
"List of countries","国家列表"
"Country and Format Type combination should be unique","国家和格式类型组合必须唯一"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","继续 &raquo;"
"Default display currency","缺省货币"
"State/Province","省份"
"Directory","目录"
"Invalid target currency","目标货币不正确"
"Frequency","频率"
"WARNING:","警告："
"Currency","货币"
"Currency Setup","货币设置"
"Currency Options","货币选项"
"Currency Update Warnings","货币更新警告"
"Error Email Sender","错误日志的发件人"
"Error Email Template","错误日志的模板"
"Error Email Recipient","错误日志的收件人"
"FATAL ERROR:","致命错误："
"Currency will be used for all online payment transactions","选中货币将被用于所有在线支付交易。"
"Select Your Currency","选择货币"
"Strikeiron Email Update Warnings","Strikeiron邮件更新警告"
"Webservicex","Webservicex"
"Invalid rates received","接收的汇率不正确"
"Service","服务"
"List of regions in specified country","指定国家的区域列表"
"Invalid Import Service Specified","指定的导入服务不正确"
"Cannot retrieve rate from %s","无法从%s获取汇率"
"Unable to initialize import model","无法初始化导入模式"
"Your current currency is: %s","您当前货币是：%s"
"Enabled","打开"
