"Date Added","加入日期"
"Save As","另存为"
"Cancel","取消"
"Sender","发件人"
"Sender Name","发件人姓名"
"Sender Email","发件人邮件"
"Sending Options","发送选项"
"Add New Template","增加新的模板"
" Copy","复制"
"Customer","客户"
"Customer Firstname","客户名字"
"Customer Lastname","客户姓氏"
"Cancelled","已取消"
"Sent","已发送"
"Processed","已处理"
"Subscribed","已订阅"
"Unsubscribed","已退订"
"Cannot mark as received subscriber","不能标记为已订阅人"
"Subject","主题"
"Start","开始"
"Save And Resume","保存并继续"
"There was an error while saving your subscription","保存订阅时出现问题"
"Save Newsletter","保存邮件列表"
"Save Template","保存模版"
"Edit Queue","修改队列"
"Edit Newsletter","修改邮件列表"
"Edit Newsletter Template","修改邮件列表模板"
"Edit Template","修改模板"
"Delete Selected Problems","删除已选问题"
"Delete Template","删除模板"
"Toggle Editor","切换编辑器"
"Message","内容"
"Store","商店"
"Store View","商店界面"
"Status","状态"
"Confirmation request has been sent","确认邮件已发出"
"Confirmation Email Sender","确认邮件的发件人"
"Confirmation Email Template","确认邮件的模板"
"Type","类型"
"Resume","继续"
"ID","编号"
"Website","网站"
"Email","电子邮件"
"Form was filled incorrectly","表格填写不正确"
"Preview","预览"
"Preview Template","预览模板"
"Subscribe","订阅"
"Subscriber","订阅人"
"Subscribers","订阅人"
"Invalid subscriber ID","订阅人编号不正确"
"There was a problem with the subscription","订阅出现问题"
"There was a problem with the subscription: %s","订阅出现问题：%s"
"Invalid subscription confirmation code","订阅确认码不正确"
"Invalid subscription ID","订阅编号不正确"
"Subscribers From","订阅表单"
"Sign up for our newsletter:","订阅邮件列表："
"Subscription Options","订阅选项"
"Success Email Sender","订阅成功的邮件发送人"
"Success Email Template","订阅成功的邮件模板"
"Set Return-Path","设置返回路径"
"Guest","访客"
"Please enter a valid email address","请输入正确的邮件地址"
"Please enter new template name","请输入新的模板名"
"Please select subscriber(s)","请选择订阅人"
"Convert to Plain Text","转换为纯文本"
"Enter your email address","输入您的电子邮件地址"
"Back","返回"
"Return Html Version","返回Html版本"
"Need to Confirm","需要确认"
"Queue Subject","队列主题"
"Queue Start","队列开始"
"Queue Information","队列信息"
"Queue Finish","队列结束"
"Queue Newsletter","队列邮件列表"
"Queue Date Start","队列日期开始"
"Newsletter","邮件列表"
"Newsletter Section","邮件列表单元"
"Newsletter Message Preview","邮件列表内容预览"
"Newsletter Subscription","邮件列表订阅"
"Newsletter Subscriptions","邮件列表订阅"
"Newsletter Subscribers","邮件列表订阅人"
"Newsletter subscription confirmation","邮件列表订阅确认"
"Newsletter subscription success","邮件列表订阅成功"
"Newsletter Queue","邮件列表队列"
"Newsletter Problem Reports","邮件列表错误报告"
"Newsletter unsubscription success","邮件列表退订成功"
"Newsletter Templates","邮件列表模板"
"Error Code","错误代码"
"Error Text","错误文字"
"Reset","重置"
"Invalid queue selected","选择的队列不正确"
"Unsubscribe","退订"
"Unsubscribe Selected","退订已选"
"There was a problem with the un-subscription.","退订出现问题。"
"Unsubscription Email Sender","退订邮件的发件人"
"Unsubscription Email Template","退订邮件的模板"
"Pause","暂停"
"Paused","暂停"
"View Newsletter","查看邮件列表"
"Template Name","模板名称"
"Template Subject","模板主题"
"Duplicate of template code","模板代码重复"
"Template Information","模板信息"
"Template Content","模板内容"
"Template Type","模板类型"
"Sending","正在发送"
"No subscribers selected","没有选择订阅人"
"No problems found","没有找到问题"
"No Templates Found","没有找到模板"
"Sign me up","注册"
"Newsletter Sign-up","注册邮件列表"
"Add to Queue","添加到队列"
"Not Sent","未发送"
"Not activated","未激活"
"The subscription was successfully saved","成功保存订阅"
"Selected problems successfully deleted","成功删除选择的问题"
"Selected problem subscribers successfully unsubscribed","成功退订选择的有问题的订阅人"
"New Newsletter Template","新增邮件列表模板"
"Create Newsletter Template","新建邮件列表模板"
"New Template","新建模板"
"Cannot save your subscription: %s","无法保存订阅：%s"
"Cannot delete subscriber","无法删除订阅人"
"Cannot delete template","无法删除模板"
"You have been successfully unsubscribed.","您已成功退订。"
"Your subscription was successfully confirmed","您的订阅已确认"
"Do you really want to cancel the queue?","您确认要取消队列吗？"
"Are you sure that you want to delete this template?","您确认要删除该模板吗？"
"Are you sure that you want to strip all tags?","您确认要删除所有标签吗？"
"Action","操作"
"Recipients","收件人"
"Thank you for your subscription","感谢您的订阅"
"Date Updated","更新日期"
