"%d Review(s)","%d个评论"
"%s Review(s)","%s个评论"
"(Posted on %s)","(评论日期 %s)"
"1 star","1星"
"2 stars","2星"
"3 stars","3星"
"4 stars","4星"
"5 stars","5星"
"Visible In","可见于"
"Add Your Review","发表评论"
"Add New Review","发表新的评论"
"Write Your Own Review","发表您自己的评论"
"Name","名字"
"Customer","客户"
"Customer Reviews","客户评论"
"Pending reviews of customer `%s`","客户`%s`的待审评论"
"All reviews of customer `%s`","客户`%s`的所有评论"
"Average Customer Rating","平均客户评级"
"Average Customer Rating:","平均客户评级："
"Price","价格"
"Posted By","作者"
"Pending Reviews","待审评论"
"Pending reviews","待审评论"
"Save Review","保存评论"
"Edit Review '%s'","修改评论'%s'"
"Name In Store","在商店的名字"
"Delete","删除"
"Delete Review","删除评论"
"Created On","创建日期"
"Product","商品"
"Product SKU","商品 SKU"
"Product Name","商品名称"
"Product Rating","商品评级"
"Product Rating:","商品评级："
"Product Reviews","商品评论"
"Product Review (submitted on %s):","商品评论 (提交日期 %s):"
"Allow guests to write reviews","允许未注册用户发表评论"
"Status","状态"
"Be the first to review this product","第一个评论该商品"
"Administrator","管理员"
"Type","类型"
"ID","编号"
"Websites","网站"
"Guest","访客"
"Please select one of each of the ratings above","请选择上面的一个评级"
"Please select a product","请选择商品"
"Summary Rating","评级"
"Manage Ratings","评级管理"
"Rating:","评级："
"Detailed Rating","评级情况"
"Review","评论"
"Reviews and Ratings","评论与评级"
"Review by %s","评论人 %s"
"Review Details","评论内容"
"Summary of Review","评论内容"
"Summary of review","评论内容"
"Back","返回"
"Back to Main Product Info","返回主商品内容"
"Back to Product Reviews","返回商品评论"
"Back to My Reviews","返回我的评论"
"SKU","SKU"
"View Details","查看内容"
"View All Reviews","查看所有评论"
"Submit Review","提交评论"
"Title","标题"
"My Product Reviews","我的商品评论"
"My Recent Reviews","我最近的评论"
"Nickname","昵称"
"New Review","新评论"
"Unable to post review. Please, try again later.","无法发表评论，请稍后再试。"
"How do you rate this product?","您对该商品的评级是？"
"Your Rating:","您的评级："
"Your Review (submitted on %s):","您的评论 (提交日期 %s):"
"Your review has been accepted for moderation","您的评论已提交审核"
"Summary of Your Review","您的评论内容"
"Are you sure?","您确认吗？"
"Are you sure you want to do this?","您确认要这么做吗？"
"You're reviewing: %s","您正在评论：%s"
"You have submitted no reviews.","您没有提交评论。"
"Qty","数量"
"All Reviews","所有评论"
"Update status","更新状态"
