"Canada Standard","加拿大标准"
"Shipment Contains Hazardous Materials","危险品配送"
"Kilograms","千克"
"Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount.","只在“额外保护价格”设置为“配置值”时有效。只允许数字。"
"Please make sure to use only digits here. No dashes are allowed.","只允许使用数字。不可以使用破折号"
"Variable","可变的"
"Allowed methods","可选发货方式"
"Pickup method","取货方式"
"Shipping key","发货密钥"
"Shipping key (International)","发货密钥 (国际)"
"Sender","发货人"
"Origin of the shipment","发货地点"
"Ship to applicable countries","发货到适用国家"
"Ship to Specific countries","发货到指定国家"
"No","否"
"Enabled","启用"
"Additional Protection Enabled","启用额外保护"
"Large","大件"
"Media Mail","媒体邮件"
"Customer Packaging","客户包装"
"Password","密码"
"Size","尺寸"
"Delivered","已交货"
"Express 10:30 AM","上午10:30 快递"
"Shipment is not available.","不能发货。"
"Account ID","帐号"
"Account number","帐号"
"2Day","两天"
"2 Day Freight","两日内送达"
"2nd Day Air AM","两日空运上午送达"
"2nd Day Air AM Letter","两日空运上午送达信件"
"2nd Day Air","两日空运送达"
"2nd Day Air Letter","两日空运送达信件"
"3 Day Freight","三日内送达"
"3 Day Select","三日内送达"
"1 Day Freight","一日内送达"
"Library","库"
"Express Saver","优捷快递"
"Residential","住宅的"
"Ground Residential","住宅陆运"
"Letter","信件"
"First-Class","快件"
"Priority Mail","快件"
"Express","快递"
"Express Mail","快递邮件"
"Package","包裹"
"Parcel","包裹"
"Package Description","包裹说明"
"Container","包装"
"Packaging","包装"
"Bound Printed Matter","包装材料"
"Express Saturday","周六快递"
"Displayed Error Message","出错时显示的内容"
"Ground Commercial","商务陆运"
"Business Service Center","商务服务中心"
"Commercial","商业"
"Minimum order amount for free shipping","免运费的最低订单金额"
"Free shipping with minimum order amount","免运费订单最小金额"
"Free method","免运费方式"
"Worldwide Express Letter","全球快递信件"
"Worldwide Express","全球特快"
"Worldwide Express Plus","全球特急快递"
"Worldwide Express Plus Letter","全球特急快递信件"
"Worldwide Expedited","全球蓝色捷运"
"Worldwide Express Saver","全球速快"
"Shipment Dutiable","关税"
"Shipment Duty Payment Type","关税支付类型"
"Response is in the wrong format","回复格式不正确"
"Flat","固定的"
"Flat-Rate Envelope","固定运费信封"
"Flat-Rate Box","固定运费盒子"
"Next Day Air Intra (Puerto Rico)","国内隔日空运送达 (波多黎各)"
"Home Delivery","国内配送"
"Domestic Shipment Days","国内配送日"
"Intl Priority Freight","国际优先运输"
"International Priority","国际快件"
"International Express","国际快递"
"International First","国际第一"
"International Economy","国际经济"
"Intl Economy Freight","国际经济运输"
"International Shipment Days","国际配送日"
"Round","四舍五入"
"Rectangular","矩形"
"Pounds","磅"
"Empty response","空回复"
"Third Party","第三方"
"Next Day Air Saver","经济型隔日空运送达"
"Next Day Air Saver Letter","经济型隔日空运送达"
