"Amex","Amex"
"API Password","API 密码"
"API Signature","API 签名"
"API User Name","API 用户名"
"Issue Number","卡号"
"Incl. Tax","含税"
"Enabled","启用"
"There has been an error processing your payment. Please try later or contact us for help.","处理付款出错，请稍后再试或联系我们。"
"Customer returned from PayPal site.","客户从Paypal网站返回"
"Subtotal","小计"
"Your billing address will be ignored and you will be redirected to PayPal UK website","将忽略您的账单地址，并转到PayPal英国网站"
"No shipping method required.","不要求寄送方式"
"Place an Order","下订单"
"Transaction Type","交易类型"
"Invalid transaction id","交易编号错误"
"Payment from applicable countries","从适用国家付款"
"Payment from Specific countries","从指定国家付款"
"Proxy Host","代理服务器"
"Proxy Port","代理服务器端口"
"Price","价格"
"Switch/Solo Only","仅Switch/Solo"
"Start Date","开始日期"
"Use Proxy","使用代理"
"Credit Card Number","信用卡号码"
"Credit Card Number: xxxx-%s","信用卡号码：xxxx-%s"
"Credit Card Type","信用卡类型"
"Credit Card Types","信用卡类型"
"Credit Card Type: %s","信用卡类型：%s"
"Card Verification Number","信用卡校验码"
"Edit Shopping Cart","修改购物车"
"Change Shipping Address","修改配送地址"
"Change Payment Method","修改支付方式"
"Error in creating an invoice","创建发票出错"
"Invoice #%s created","创建的发票 #%s "
"Product Name","商品名称"
"Business Name","公司名称"
"Business Account","公司帐号"
"Maximum image size is 750x90 px.","图片最大值为 750x90 px."
"N/A","空"
"Type","类型"
"Website Payments Pro and Express Checkout (API Signature)","网站专业付款和Express 支付 (API 签名)"
"Website Payments Standard","网站专门付款"
"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text."
"Page Style","页面样式"
"Order","订单"
"Order total amount does not match paypal gross total amount","订单金额与paypal金额不一致"
"Please select a shipping method...","请选择配送方式..."
"Please select a valid shipping method","请选择正确的配送方式"
"Debug Flag","调试标记"
"Billing Information","账单信息"
"Items in Your Shopping Cart","购物车中商品"
"There was an error during communication with Paypal: %s - %s","连接 Paypal 出错：%s - %s"
"There was an error connecting to the Paypal server: %s","连接 Paypal 服务器出错：%s"
"Problem during communication with PayPal","连接PayPal出错"
"What is this?","这是什么？"
"Sale","销售"
"Shipping Information","配送信息"
"Shipping Address","配送地址"
"Shipping Method","配送方式"
"Selected currency code (","选择货币代码 ("
"Error in refunding the payment","退款出错"
"MasterCard","MasterCard"
"Paypal Logo Image URL","Paypal  图像 URL"
"PayPal Accounts","PayPal 帐号"
"Paypal Checkout","Paypal 结帐"
"PayPal Express Checkout","PayPal Express 结帐"
"PayPal Email","PayPal 邮件"
"PayPal Uk Account","PayPal Uk 帐号"
"Paypal URL","Paypal URL"
"PayPal Website Payments Standard","PayPal Website 标准付款"
"PayPal Website Payments Pro - Direct Payments","PayPal Website专业付款 – 直接付款"
"Switch/Solo card issue number: %s","Switch/Solo 卡号：%s"
"Switch/Solo card start Date: %s/%s","Switch/Solo 开始日期：%s/%s"
"Visa","Visa"
"Sorry, no quotes are available for this order at this time.","抱歉，目前没有订单的报价。"
"Review Order","查看订单"
"Discover","查找"
"Authorization","授权"
"Authorize and Capture","授权和接收"
"Sort order","排序"
"Submitting order information...","提交订单信息 ..."
"Title","标题"
"Sandbox Flag","沙盒标记"
"Name on Card","持卡人姓名"
"Name on the Card: %s","持卡人姓名：%s"
"Unknown PayPal API error: %s","未知PayPal API错误：%s"
"Expiration Date","有效期"
"Expiration Date: %s/%s","有效期：%s/%s"
"New order status","新订单状态"
"Paypal IPN Invalid %s.","无效的Paypal IPN  %s."
"You will be redirected to Paypal in a few seconds.","您将会在几秒钟后跳转到Paypal页面"
"Payment Method","支付方式"
"Payment Action","支付操作"
"Received IPN verification","收到IPN校验"
"Qty","数量"
"Update Shipping Method","更新配送方式"
